source_file,category,bytes,chars_extracted,status
D:\Books\Culinary & Hospitality\CULINARY BOOKS\02 Techniques\Asian Pickles.pdf,Culinary Books And Techniques,5434458,10983,extracted
D:\Books\Culinary & Hospitality\CULINARY BOOKS\02 Techniques\Crock_Pot_1825_Crock_Pot_Recipes_5_years_of_Crock_Pot_Slow_Cooker.pdf,Culinary Books And Techniques,4271795,8989,extracted
D:\Books\Culinary & Hospitality\CULINARY BOOKS\02 Techniques\Stir Fries-Best Ever Wok & Pan Recipes.pdf,Culinary Books And Techniques,9494545,13,extracted
D:\Books\Culinary & Hospitality\CULINARY BOOKS\02 Techniques\The prepper s cookbo... by Tess Pennington (z-lib.org).pdf,Culinary Books And Techniques,3114326,33724,extracted
D:\Books\Culinary & Hospitality\CULINARY BOOKS\02 Techniques\The Woks of Life by Bill Leung.epub,Culinary Books And Techniques,121500115,120000,extracted
D:\Books\Culinary & Hospitality\CULINARY BOOKS\02 Techniques\The_Preppers_Cookbook_Essential_Prepping_Foods_and_Recipes_to_Deliciously.pdf,Culinary Books And Techniques,4148279,10811,extracted
D:\Books\Culinary & Hospitality\CULINARY BOOKS\02 Techniques\Ultimate Japanese Noodles Cookbook by Masahiro Kasahara.pdf,Culinary Books And Techniques,26439816,15889,extracted
D:\Books\Culinary & Hospitality\CULINARY BOOKS\03 World Cuisines\A Korean Cooking Cookbook (Jaehyun Hw... (z-lib.org).pdf,World Cuisines,13035973,10861,extracted
D:\Books\Culinary & Hospitality\CULINARY BOOKS\03 World Cuisines\Classic French Recipes.pdf,World Cuisines,5649097,15411,extracted
D:\Books\Culinary & Hospitality\CULINARY BOOKS\03 World Cuisines\curry.pdf,World Cuisines,42308437,5636,extracted
D:\Books\Culinary & Hospitality\CULINARY BOOKS\03 World Cuisines\Gran Cocina Latina by Maricel E. Presilla.pdf,World Cuisines,327189951,7866,extracted
D:\Books\Culinary & Hospitality\CULINARY BOOKS\03 World Cuisines\Korean Cooking by Maangchi.pdf,World Cuisines,570649341,11589,extracted
D:\Books\Culinary & Hospitality\CULINARY BOOKS\03 World Cuisines\Lets Cook French.PDF,World Cuisines,23321927,11264,extracted
D:\Books\Culinary & Hospitality\CULINARY BOOKS\03 World Cuisines\Los_Barrios_Family_C_by_Diana_Barrios_Treviñ_z_lib_or.pdf,World Cuisines,5017983,14251,extracted
"D:\Books\Culinary & Hospitality\CULINARY BOOKS\03 World Cuisines\Milk,_Spice_and_Curry_Leaves_by_Ruwanmali_Samarakoon_Amunugama.pdf",World Cuisines,32956838,11077,extracted
D:\Books\Culinary & Hospitality\CULINARY BOOKS\03 World Cuisines\South African Illustrated Cookbook.pdf,World Cuisines,4576029,3280,extracted
D:\Books\Culinary & Hospitality\CULINARY BOOKS\03 World Cuisines\Sri Lanka Cooking.pdf,World Cuisines,269534,13369,extracted
D:\Books\Culinary & Hospitality\CULINARY BOOKS\03 World Cuisines\Tex-Mex Recipes for any Occasion Thin... (z-lib.org).pdf,World Cuisines,17233315,5493,extracted
