recipe_id,source_file,recipe_title,cuisine_family,dish_category,protein,starch,vegetables,sauce_or_marinade,core_ingredients,cooking_method,equipment,prep_complexity_1_5,labour_intensity_1_5,batch_suitability_1_5,holding_reheat_score_1_5,delivery_suitability_1_5,customer_familiarity_1_5,premium_pricing_1_5,waste_risk_1_5,cross_utilisation_1_5,commercial_deployability_score,consumer_craving_score,abundance_illusion_score,shareability_score,scarcity_drop_potential,productization_potential,safari_lounge_fit,ghost_kitchen_fit,catering_fit,consulting_value_fit,saas_dataset_fit,best_business_model,derivative_original_ideas,commercial_notes,needs_review,dependency_control_score
rcp_a2fbbdc77d29,D:\Books\Culinary & Hospitality\CULINARY BOOKS\02 Techniques\The Woks of Life by Bill Leung.epub,"Pork, Beef & Lamb, The Woks of Life",Chinese / Wok; American BBQ,Hot Main,beef; chicken; pork; lamb,rice; potato,tomato,marinade,beef; chicken; pork; lamb; rice; potato; tomato; marinade,grilled; braised; roasted; boiled,wok; grill; oven; stock pot,4,3,5,5,5,4,5,1,5,25,5,5,5,5,4,5,5,5,5,5,catering tray / office bundle,"Pork, Beef & Lamb, The Woks of Life office tray; family allocation tray; weekend preorder bundle with premium add-ons.","strong commercial deployability; good scarcity-drop candidate; component/product line candidate; works as tray, bundle, or group-buy format",no,45
rcp_e84214caa660,D:\Books\Culinary & Hospitality\CULINARY BOOKS\02 Techniques\The Woks of Life by Bill Leung.epub,"Pork, Beef & Lamb",Chinese / Wok; American BBQ,Hot Main,beef; chicken; pork; lamb,rice; potato,tomato,marinade,beef; chicken; pork; lamb; rice; potato; tomato; marinade,grilled; braised; roasted; boiled,wok; grill; oven; stock pot,4,3,5,5,5,4,5,1,5,25,5,5,5,5,4,5,5,5,5,5,catering tray / office bundle,"Pork, Beef & Lamb office tray; family allocation tray; weekend preorder bundle with premium add-ons.","strong commercial deployability; good scarcity-drop candidate; component/product line candidate; works as tray, bundle, or group-buy format",no,45
rcp_97640e2861b0,D:\Books\Culinary & Hospitality\CULINARY BOOKS\02 Techniques\The Woks of Life by Bill Leung.epub,Char Siu Roast Pork,Chinese / Wok; American BBQ,Hot Main,beef; chicken; pork; lamb,rice; potato,garlic; pepper; tomato,glaze; marinade; sauce,beef; chicken; pork; lamb; rice; potato; garlic; pepper; tomato; glaze; marinade; sauce,grilled; braised; roasted; boiled,wok; grill; oven; stock pot; blender,4,3,5,5,5,4,5,1,5,25,5,5,5,5,4,5,5,5,5,5,catering tray / office bundle,Char Siu Roast Pork office tray; family allocation tray; weekend preorder bundle with premium add-ons.,"strong commercial deployability; good scarcity-drop candidate; component/product line candidate; works as tray, bundle, or group-buy format",no,45
rcp_d4e8e9d5109b,D:\Books\Culinary & Hospitality\CULINARY BOOKS\02 Techniques\The Woks of Life by Bill Leung.epub,Hong Kong Beef Brisket in Clear Broth,Chinese / Wok; American BBQ,Wet Main / Bowl,beef; chicken; pork; lamb,rice; potato,garlic; tomato,glaze; marinade; sauce,beef; chicken; pork; lamb; rice; potato; garlic; tomato; glaze; marinade; sauce,grilled; braised; roasted; boiled,wok; grill; oven; stock pot; blender,4,3,5,5,5,4,5,1,5,25,5,5,5,5,4,5,5,5,5,5,catering tray / office bundle,Hong Kong Beef Brisket in Clear Broth office tray; family allocation tray; weekend preorder bundle with premium add-ons.,"strong commercial deployability; good scarcity-drop candidate; component/product line candidate; works as tray, bundle, or group-buy format",no,45
rcp_2c0eab0acaf7,D:\Books\Culinary & Hospitality\CULINARY BOOKS\02 Techniques\The Woks of Life by Bill Leung.epub,Cantonese Roast Pork Belly (Siu Yuk),Chinese / Wok; American BBQ,Hot Main,beef; chicken; pork; lamb,rice; potato,garlic; tomato,glaze; marinade; sauce,beef; chicken; pork; lamb; rice; potato; garlic; tomato; glaze; marinade; sauce,grilled; braised; roasted; boiled,wok; grill; oven; stock pot; blender,4,3,5,5,5,4,5,1,5,25,5,5,5,5,4,5,5,5,5,5,catering tray / office bundle,Cantonese Roast Pork Belly (Siu Yuk) office tray; family allocation tray; weekend preorder bundle with premium add-ons.,"strong commercial deployability; good scarcity-drop candidate; component/product line candidate; works as tray, bundle, or group-buy format",no,45
rcp_9bf48ca7c83a,D:\Books\Culinary & Hospitality\CULINARY BOOKS\02 Techniques\The Woks of Life by Bill Leung.epub,Black Pepper Beef (Steak Kow),Chinese / Wok; American BBQ,Hot Main,beef; chicken; pork; lamb,rice; potato,garlic; pepper; tomato,glaze; marinade; sauce,beef; chicken; pork; lamb; rice; potato; garlic; pepper; tomato; glaze; marinade; sauce,grilled; braised; roasted; boiled,wok; grill; oven; stock pot; blender,4,3,5,5,5,4,5,1,5,25,5,5,5,5,4,5,5,5,5,5,catering tray / office bundle,Black Pepper Beef (Steak Kow) office tray; family allocation tray; weekend preorder bundle with premium add-ons.,"strong commercial deployability; good scarcity-drop candidate; component/product line candidate; works as tray, bundle, or group-buy format",no,45
rcp_a0c4b2c611f7,D:\Books\Culinary & Hospitality\CULINARY BOOKS\03 World Cuisines\A Korean Cooking Cookbook (Jaehyun Hw... (z-lib.org).pdf,Korean Cuisine Sauces & Spices,Korean; Sri Lankan / Curry; Latin / Tex-Mex; Chinese / Wok; American BBQ,Sauce / Condiment,beef; chicken; pork; egg; vegetarian,rice; noodle; bread; potato,cucumber; pepper,curry; dip; marinade; sauce,beef; chicken; pork; egg; vegetarian; rice; noodle; bread; potato; cucumber; pepper; curry; dip; marinade; sauce,grilled; fried; braised; boiled; raw/cold,grill; stock pot; fryer; blender,4,3,5,4,5,4,5,2,5,23,5,5,5,5,5,5,5,5,5,5,bottled sauce / rub / dry mix,Original signature component inspired by the category: Safari Lounge Korean Cuisine Sauces & Spices sauce flight; dry rub sachet; catering condiment upsell.,"strong commercial deployability; good scarcity-drop candidate; component/product line candidate; works as tray, bundle, or group-buy format",no,43
rcp_d9fdf1646696,D:\Books\Culinary & Hospitality\CULINARY BOOKS\03 World Cuisines\A Korean Cooking Cookbook (Jaehyun Hw... (z-lib.org).pdf,Beef Meals,Korean; Sri Lankan / Curry; Latin / Tex-Mex; Chinese / Wok; American BBQ,Hot Main,beef; chicken; pork; egg; vegetarian,rice; noodle; bread; potato,cucumber; pepper,curry; dip; marinade; sauce,beef; chicken; pork; egg; vegetarian; rice; noodle; bread; potato; cucumber; pepper; curry; dip; marinade; sauce,grilled; fried; braised; boiled; raw/cold,grill; stock pot; fryer; blender,4,3,5,4,5,4,5,2,5,23,5,5,5,5,5,5,5,5,5,5,catering tray / office bundle,Beef Meals office tray; family allocation tray; weekend preorder bundle with premium add-ons.,"strong commercial deployability; good scarcity-drop candidate; component/product line candidate; works as tray, bundle, or group-buy format",no,43
rcp_907d18fce19f,D:\Books\Culinary & Hospitality\CULINARY BOOKS\03 World Cuisines\A Korean Cooking Cookbook (Jaehyun Hw... (z-lib.org).pdf,Jangjorim (Korean Beef Simmered in Soy Sauce),Korean; Sri Lankan / Curry; Latin / Tex-Mex; Chinese / Wok; American BBQ,Sauce / Condiment,beef; chicken; pork; egg; vegetarian,rice; noodle; bread; potato,cucumber; pepper,curry; dip; marinade; sauce,beef; chicken; pork; egg; vegetarian; rice; noodle; bread; potato; cucumber; pepper; curry; dip; marinade; sauce,grilled; fried; braised; boiled; raw/cold,grill; stock pot; fryer; blender,4,3,5,4,5,4,5,2,5,23,5,5,5,5,5,5,5,5,5,5,bottled sauce / rub / dry mix,Original signature component inspired by the category: Safari Lounge Jangjorim (Korean Beef Simmered in Soy Sauce) sauce flight; dry rub sachet; catering condiment upsell.,"strong commercial deployability; good scarcity-drop candidate; component/product line candidate; works as tray, bundle, or group-buy format",no,43
rcp_9e53f95bcb5d,D:\Books\Culinary & Hospitality\CULINARY BOOKS\03 World Cuisines\A Korean Cooking Cookbook (Jaehyun Hw... (z-lib.org).pdf,Korean Soy Beef Strips With Hard-Boiled Eggs (Jang Jorim),Korean; Sri Lankan / Curry; Latin / Tex-Mex; Chinese / Wok; American BBQ,Hot Main,beef; chicken; pork; egg; vegetarian,rice; noodle; bread; potato,carrot; cucumber; pepper,curry; dip; marinade; sauce,beef; chicken; pork; egg; vegetarian; rice; noodle; bread; potato; carrot; cucumber; pepper; curry; dip; marinade; sauce,grilled; fried; braised; boiled; raw/cold,grill; stock pot; fryer; blender,4,3,5,4,5,4,5,2,5,23,5,5,5,5,5,5,5,5,5,5,catering tray / office bundle,Korean Soy Beef Strips With Hard-Boiled Eggs (Jang Jorim) office tray; family allocation tray; weekend preorder bundle with premium add-ons.,"strong commercial deployability; good scarcity-drop candidate; component/product line candidate; works as tray, bundle, or group-buy format",no,43
